gene_id	gene_name	SH_INSM1	SH_INSM2	SH_LacZ1	SH_LacZ2
ENSG00000000003.16	TSPAN6	15.760504	14.069353	11.615006	17.989833
ENSG00000000005.6	TNMD	0	0	0	0
ENSG00000000419.14	DPM1	80.633244	87.540904	102.014999	131.56148
ENSG00000000457.14	SCYL3	13.44367	12.867774	9.574811	14.888454
ENSG00000000460.17	FIRRM	8.731815	11.637812	14.164938	27.110533
ENSG00000000938.13	FGR	0.242616	0	0	0.542744
ENSG00000000971.17	CFH	0.111348	0	0	0
ENSG00000001036.14	FUCA2	28.696219	23.823942	46.571265	62.483826
ENSG00000001084.13	GCLC	41.01879	46.909774	31.786985	48.468201
ENSG00000001167.15	NFYA	39.931706	39.392625	35.904025	51.570827
ENSG00000001460.18	STPG1	8.303299	8.038299	10.866078	12.768015
ENSG00000001461.18	NIPAL3	7.748639	7.514143	7.605916	9.075519
ENSG00000001497.18	LAS1L	38.771628	31.044902	43.22839	36.555348
ENSG00000001561.7	ENPP4	0	0.231879	0.058759	0.600777
ENSG00000001617.12	SEMA3F	17.228261	15.787611	6.294674	4.825106
ENSG00000001626.18	CFTR	0.181513	0	0	0
ENSG00000001629.10	ANKIB1	74.135588	81.827029	57.174684	109.911784
ENSG00000001630.18	CYP51A1	39.27763	39.055263	42.787468	42.260217
ENSG00000001631.17	KRIT1	49.811097	51.414706	43.250845	71.386555
ENSG00000002016.18	RAD52	18.448128	12.828825	6.611954	12.054213
ENSG00000002079.15	MYH16	0	0	0	0
ENSG00000002330.14	BAD	71.79396	65.881663	72.518122	27.269447
ENSG00000002549.13	LAP3	30.382059	27.309179	39.2496	28.833761
ENSG00000002586.20	CD99	2.352587	40.031768	43.900478	1.690675
ENSG00000002587.10	HS3ST1	0.04381	0.026738	0	0
ENSG00000002726.21	AOC1	0.300185	0.211765	0	0
ENSG00000002745.13	WNT16	0.069946	0.398019	0.133931	0.082791
ENSG00000002746.15	HECW1	0.211696	0.116173	0.266076	0.078194
ENSG00000002822.16	MAD1L1	65.116611	62.401735	25.846801	19.472713
ENSG00000002834.19	LASP1	52.700125	51.654822	36.329176	20.268403
ENSG00000002919.15	SNX11	32.351944	27.290243	38.055549	32.46385
ENSG00000002933.9	TMEM176A	0.731195	0.051569	0	0
ENSG00000003056.8	M6PR	124.365592	122.734526	117.543915	114.992334
ENSG00000003096.15	KLHL13	30.786468	33.115952	30.909025	74.881673
ENSG00000003137.9	CYP26B1	0.352296	0.580875	8.293176	9.825724
ENSG00000003147.19	ICA1	160.579149	169.865294	82.816334	96.180165
ENSG00000003249.15	DBNDD1	70.716996	70.928417	53.170081	30.956691
ENSG00000003393.16	ALS2	22.486078	30.744112	20.368804	35.096229
ENSG00000003400.16	CASP10	0.146796	0.497963	0.895546	0.132859
ENSG00000003402.21	CFLAR	11.323956	15.66463	5.698201	20.095418
ENSG00000003436.16	TFPI	0.10296	1.014182	0	0
ENSG00000003509.16	NDUFAF7	20.88817	31.752919	28.692143	29.951611
ENSG00000003756.17	RBM5	172.547206	205.297378	105.716531	131.23885
ENSG00000003987.14	MTMR7	15.157315	13.772145	6.254874	16.106463
ENSG00000003989.18	SLC7A2	1.352541	1.090925	5.638597	12.14258
ENSG00000004059.11	ARF5	289.435829	267.677467	382.05472	239.933701
ENSG00000004139.14	SARM1	30.087285	24.766616	26.681838	22.890737
ENSG00000004142.12	POLDIP2	64.852755	56.645627	81.457774	44.76673
ENSG00000004399.13	PLXND1	7.166647	7.595111	14.26163	27.876314
ENSG00000004455.18	AK2	111.061209	120.116585	180.864675	167.797571
ENSG00000004468.13	CD38	0.248269	0.378965	0.460104	0.973362
ENSG00000004478.8	FKBP4	59.983984	59.730532	107.297329	89.671376
ENSG00000004487.18	KDM1A	106.052777	104.20856	110.92479	150.509971
ENSG00000004534.15	RBM6	76.700147	83.691817	68.585797	55.487781
ENSG00000004660.15	CAMKK1	10.384949	8.355243	7.179098	4.616791
ENSG00000004700.16	RECQL	20.160553	22.758206	35.898578	55.976087
ENSG00000004766.17	VPS50	32.888135	37.02174	28.350593	48.053547
ENSG00000004776.13	HSPB6	0.946445	2.612121	0.974524	0.524452
ENSG00000004777.19	ARHGAP33	25.176614	19.605706	14.582381	30.671658
ENSG00000004779.10	NDUFAB1	154.211454	161.185712	209.672239	213.068273
ENSG00000004799.8	PDK4	0.997606	0.60949	2.321509	0.931258
ENSG00000004809.14	SLC22A16	0.179131	0	2.164046	0.42186
ENSG00000004838.14	ZMYND10	11.650284	5.23974	5.956885	9.086428
ENSG00000004846.17	ABCB5	0	0.188219	0	0
ENSG00000004848.8	ARX	0.115219	0	0.343175	0.454266
ENSG00000004864.14	SLC25A13	76.654476	79.53491	51.731818	72.711562
ENSG00000004866.22	ST7	17.905772	15.228453	23.40906	29.976136
ENSG00000004897.12	CDC27	60.653819	59.417147	67.49412	96.821352
ENSG00000004939.16	SLC4A1	0.085954	0.255855	0.839584	0.408111
ENSG00000004948.16	CALCR	0.060993	0.083845	0.03893	0
ENSG00000004961.15	HCCS	24.995918	21.319535	33.775059	34.632332
ENSG00000004975.12	DVL2	76.474912	63.989464	45.359808	49.308527
ENSG00000005001.10	PRSS22	0.625907	0.974504	0.919395	0
ENSG00000005007.14	UPF1	47.424919	43.851685	57.730424	69.545961
ENSG00000005020.13	SKAP2	2.313353	4.103603	3.241294	20.744917
ENSG00000005022.6	SLC25A5	166.318936	184.751766	269.152377	245.772645
ENSG00000005059.16	MCUB	4.693368	3.546026	19.266799	19.711688
ENSG00000005073.6	HOXA11	0	0.049568	1.122936	0.636638
ENSG00000005075.16	POLR2J	128.384132	123.954536	180.310014	71.813806
ENSG00000005100.13	DHX33	23.877433	21.803646	42.660489	45.946737
ENSG00000005102.14	MEOX1	0.041913	0.153761	0.053499	0
ENSG00000005108.17	THSD7A	2.256883	3.919611	3.24015	11.51744
ENSG00000005156.12	LIG3	11.00606	9.784527	12.418548	20.131004
ENSG00000005175.10	RPAP3	19.546359	22.308475	27.380275	48.121441
ENSG00000005187.12	ACSM3	0.63197	3.387533	0.249395	0.819514
ENSG00000005189.20	REXO5	6.059959	8.758763	9.07921	7.141965
ENSG00000005194.15	CIAPIN1	85.667255	77.317622	65.509876	58.607263
ENSG00000005206.17	SPPL2B	73.463544	67.045184	44.76479	36.424954
ENSG00000005238.20	ATOSB	27.179983	24.393196	10.078235	6.734732
ENSG00000005243.10	COPZ2	12.064735	13.495176	8.742204	9.278823
ENSG00000005249.14	PRKAR2B	31.616389	32.064936	25.045416	58.803259
ENSG00000005302.19	MSL3	17.708674	21.068294	26.057247	44.671218
ENSG00000005339.15	CREBBP	39.075159	33.174036	35.183197	46.999302
ENSG00000005379.17	TSPOAP1	22.158738	27.868703	10.440153	17.686471
ENSG00000005381.9	MPO	0.166374	0.579773	0	0
ENSG00000005421.9	PON1	0.427266	0.217784	0	2.403672
ENSG00000005436.14	GCFC2	7.370486	14.805126	13.878893	44.206387
ENSG00000005448.17	WDR54	105.663252	108.756446	61.421484	27.866153
ENSG00000005469.12	CROT	20.75609	19.656643	21.196651	23.575579
ENSG00000005471.19	ABCB4	1.756187	2.23813	2.733363	4.177657
ENSG00000005483.23	KMT2E	80.931238	87.38081	46.778438	83.418936
ENSG00000005486.17	RHBDD2	185.641323	174.519359	127.818544	103.289281
ENSG00000005513.11	SOX8	0.108038	0	6.881604	4.459854
ENSG00000005700.15	IBTK	18.549855	19.485744	12.9096	28.526515
ENSG00000005801.18	ZNF195	39.728539	46.05426	39.487059	58.653594
ENSG00000005810.20	MYCBP2	24.858872	26.9194	20.64712	62.182198
ENSG00000005812.11	FBXL3	19.101657	26.286344	18.882652	38.441303
ENSG00000005844.19	ITGAL	0.395049	0.131923	3.21276	0.461075
ENSG00000005882.12	PDK2	26.657779	21.420693	22.422388	14.854156
ENSG00000005884.18	ITGA3	19.471793	16.479876	7.878831	10.931183
ENSG00000005889.16	ZFX	14.743663	11.827966	14.868953	26.577084
ENSG00000005893.17	LAMP2	22.578983	28.263504	21.874373	42.497979
ENSG00000005961.19	ITGA2B	7.35106	4.94619	2.955319	0.261731
ENSG00000005981.13	ASB4	0	0.105026	0	0
ENSG00000006007.12	GDE1	119.75666	116.037108	79.144561	64.086302
ENSG00000006015.18	REX1BD	40.736709	43.297639	46.168121	16.88377
ENSG00000006016.12	CRLF1	9.741024	9.471444	29.246358	16.957842
ENSG00000006025.13	OSBPL7	15.416367	15.379765	11.335232	4.513859
ENSG00000006042.12	TMEM98	38.582132	38.916994	71.833589	63.410804
ENSG00000006047.13	YBX2	27.598476	30.392123	26.233849	10.191455
ENSG00000006059.4	KRT33A	0	0	0	0
ENSG00000006062.18	MAP3K14	4.23154	4.231796	3.215354	1.60301
ENSG00000006071.16	ABCC8	4.135079	4.986922	6.505132	4.62596
ENSG00000006116.4	CACNG3	0	0	0.547084	0
ENSG00000006118.15	TMEM132A	78.683547	71.843031	70.645319	39.812339
ENSG00000006125.18	AP2B1	151.143203	157.591706	113.085709	158.600363
ENSG00000006128.12	TAC1	0	0	0	0
ENSG00000006194.11	ZNF263	25.873711	23.889901	36.691686	15.223232
ENSG00000006210.7	CX3CL1	3.808101	3.738932	5.031712	8.383276
ENSG00000006282.22	SPATA20	61.634157	57.799399	32.209153	17.738976
ENSG00000006283.18	CACNA1G	14.758378	13.262572	9.402248	5.62977
ENSG00000006327.14	TNFRSF12A	57.219013	57.842159	70.53285	18.094516
ENSG00000006377.11	DLX6	8.259128	10.921566	8.233208	9.960662
ENSG00000006432.16	MAP3K9	17.385023	16.89829	11.766443	8.967064
ENSG00000006451.8	RALA	85.020323	92.781622	93.408536	136.447171
ENSG00000006453.14	BAIAP2L1	12.06301	15.325127	27.476863	41.115432
ENSG00000006459.11	KDM7A	32.349098	41.879817	21.362912	46.094616
ENSG00000006468.15	ETV1	10.67206	14.639567	12.559138	18.476132
ENSG00000006530.18	AGK	30.994374	35.269666	34.404127	30.112272
ENSG00000006534.17	ALDH3B1	3.138256	3.091457	1.788401	0.245889
ENSG00000006555.11	TTC22	0.048458	0	0	0
ENSG00000006576.17	PHTF2	11.944781	13.362594	18.542241	56.93694
ENSG00000006606.9	CCL26	0	0	0.635093	0
ENSG00000006607.14	FARP2	29.297845	36.94416	34.082062	37.499116
ENSG00000006611.17	USH1C	0.301536	0	4.878234	0
ENSG00000006625.18	GGCT	117.527582	130.556798	188.292396	181.28964
ENSG00000006634.8	DBF4	6.616894	8.410667	31.164985	44.986443
ENSG00000006638.13	TBXA2R	1.274385	2.34136	1.247115	1.536895
ENSG00000006652.15	IFRD1	69.132971	76.806207	64.028631	128.244814
ENSG00000006659.13	LGALS14	0	0	0	0
ENSG00000006695.12	COX10	13.542272	12.169395	16.87409	27.222056
ENSG00000006704.11	GTF2IRD1	33.646063	30.098236	23.513095	31.908399
ENSG00000006712.15	PAF1	41.114985	42.342097	49.406045	37.066571
ENSG00000006715.16	VPS41	101.398852	100.229566	65.802902	117.55154
ENSG00000006740.18	ARHGAP44	0.225029	1.059879	1.875949	1.145583
ENSG00000006744.19	ELAC2	23.877135	30.619568	42.498677	44.475176
ENSG00000006747.15	SCIN	0.010688	0.009782	0.171674	0.099651
ENSG00000006756.16	ARSD	13.741783	15.461135	4.837576	7.005762
ENSG00000006757.12	PNPLA4	12.207175	14.376428	14.732943	19.247202
ENSG00000006788.14	MYH13	0	0	0	0
ENSG00000006831.10	ADIPOR2	37.143729	40.954401	51.595376	54.055802
ENSG00000006837.12	CDKL3	6.957924	10.630938	9.101255	31.354415
ENSG00000007001.14	UPP2	0	0.152486	0.180677	0.557062
ENSG00000007038.11	PRSS21	0	0	0	0
ENSG00000007047.16	MARK4	61.941801	43.709932	33.009894	27.330581
ENSG00000007062.12	PROM1	0.082595	0.041871	1.081941	0.830738
ENSG00000007080.11	CCDC124	109.808554	100.063481	173.36375	34.013233
ENSG00000007129.18	CEACAM21	1.699268	0	0	0
ENSG00000007168.15	PAFAH1B1	136.912178	125.53705	87.730679	152.612224
ENSG00000007171.19	NOS2	0.771927	0.964265	1.518191	1.511557
ENSG00000007174.18	DNAH9	2.073452	1.780171	11.642478	2.558812
ENSG00000007202.16	BLTP2	89.633231	83.349178	65.583129	78.115202
ENSG00000007216.16	SLC13A2	0	0.047518	0	0
ENSG00000007237.19	GAS7	3.303916	3.233957	3.006917	1.052016
ENSG00000007255.10	TRAPPC6A	44.467198	35.398172	32.884727	12.993397
ENSG00000007264.15	MATK	1.085883	1.35799	2.252723	3.68692
ENSG00000007306.15	CEACAM7	0	0	0	0
ENSG00000007312.14	CD79B	0	0.411839	0	0
ENSG00000007314.12	SCN4A	1.058992	0.073336	0.017047	0
ENSG00000007341.19	ST7L	15.230935	21.130798	20.094771	25.683358
ENSG00000007350.18	TKTL1	0.044828	0.082244	0	0.105901
ENSG00000007372.25	PAX6	0.7351	0.162412	6.509326	11.300977
ENSG00000007376.8	RPUSD1	21.233934	19.073731	38.70003	19.295922
ENSG00000007384.15	RHBDF1	5.85357	7.842972	7.726474	14.325083
ENSG00000007392.17	LUC7L	71.599048	65.687542	66.042463	55.288935
ENSG00000007402.12	CACNA2D2	46.209111	39.009002	18.819456	14.781481
ENSG00000007516.15	BAIAP3	18.291609	26.76934	16.456204	10.494388
ENSG00000007520.4	TSR3	33.885288	35.573032	43.755638	24.201901
ENSG00000007541.17	PIGQ	50.328534	45.502629	33.996706	18.596786
ENSG00000007545.16	CRAMP1	14.080541	18.370863	25.975524	27.280589
ENSG00000007866.22	TEAD3	16.048764	14.319921	9.948862	7.885781
ENSG00000007908.16	SELE	0.083788	0	0.178271	0.144349
ENSG00000007923.17	DNAJC11	66.589574	64.578989	64.667469	44.319832
ENSG00000007933.13	FMO3	0	0	0	0
ENSG00000007944.16	MYLIP	5.125252	5.75644	9.236603	12.292233
ENSG00000007952.18	NOX1	0.14076	0.129141	0.119777	0
ENSG00000007968.7	E2F2	4.099079	2.675811	12.386793	4.997132
ENSG00000008018.9	PSMB1	269.145547	278.898058	307.185321	238.829107
ENSG00000008056.14	SYN1	28.987057	28.102498	26.421295	18.804515
ENSG00000008083.14	JARID2	17.789284	15.817873	16.993347	26.585224
ENSG00000008086.13	CDKL5	4.025266	5.589364	3.998317	6.798847
ENSG00000008118.10	CAMK1G	0.645436	0.296062	0	0
ENSG00000008128.23	CDK11A	72.50377	73.617314	73.426838	64.526088
ENSG00000008130.15	NADK	54.194586	43.459645	50.103586	54.914477
ENSG00000008196.13	TFAP2B	68.830377	71.23853	40.665347	47.416562
ENSG00000008197.5	TFAP2D	0.112789	0.661132	2.732487	0.39871
ENSG00000008226.20	DLEC1	1.733573	0.561059	0.219071	0
ENSG00000008256.17	CYTH3	18.849033	19.554579	20.147298	30.577278
ENSG00000008277.15	ADAM22	26.143585	31.780037	16.827611	31.104147
ENSG00000008282.10	SYPL1	24.403581	31.675497	42.056271	75.844393
ENSG00000008283.16	CYB561	437.994373	412.640673	241.611417	147.467501
ENSG00000008294.22	SPAG9	106.580482	116.740852	78.665439	157.746658
ENSG00000008300.17	CELSR3	81.425086	70.5371	44.575473	34.734171
ENSG00000008311.16	AASS	0.072866	0.033348	0.506587	0.47983
ENSG00000008323.16	PLEKHG6	1.157011	0.990602	0.788012	7.065189
ENSG00000008324.12	SS18L2	27.258061	28.56813	26.932699	47.811292
ENSG00000008382.16	MPND	35.499748	27.831177	12.300758	12.324037
ENSG00000008394.13	MGST1	0.611322	13.211855	6.116174	12.310441
ENSG00000008405.12	CRY1	13.551227	11.397762	16.010479	21.689769
ENSG00000008438.5	PGLYRP1	0	0	0	0
ENSG00000008441.19	NFIX	24.421474	30.902592	18.57379	14.552668
ENSG00000008513.17	ST3GAL1	5.04972	5.352428	5.00172	4.378955
ENSG00000008516.19	MMP25	0.401357	0.660517	0.466313	1.1217
ENSG00000008517.19	IL32	2.888561	5.088808	4.836131	4.609515
ENSG00000008710.20	PKD1	248.010747	213.705755	121.543549	77.034185
ENSG00000008735.14	MAPK8IP2	54.025227	50.582156	51.108782	30.510032
ENSG00000008838.21	MED24	77.087703	79.615336	75.091029	85.341073
ENSG00000008853.18	RHOBTB2	37.331757	39.91486	17.598937	19.912866
ENSG00000008869.12	HEATR5B	27.958408	31.901274	19.222471	37.893964
ENSG00000008952.17	SEC62	53.702905	66.019065	51.034739	69.7864
ENSG00000008988.11	RPS20	3042.610218	3164.702827	3368.746634	3183.382703
ENSG00000009307.17	CSDE1	233.955616	242.986814	276.714987	466.168882
ENSG00000009335.19	UBE3C	61.782429	68.336521	84.677673	130.635028
ENSG00000009413.17	REV3L	19.071857	17.132516	14.778987	34.652413
ENSG00000009694.14	TENM1	0.119693	1.229658	0.030564	0.018998
ENSG00000009709.13	PAX7	2.104188	2.100865	3.082121	1.569202
ENSG00000009724.18	MASP2	24.180912	19.521116	16.46711	19.195329
ENSG00000009765.15	IYD	0	0.025432	0	0
ENSG00000009780.16	FAM76A	4.534338	6.122119	4.294565	8.982506
ENSG00000009790.15	TRAF3IP3	1.925421	2.282906	1.096749	1.63115
ENSG00000009830.13	POMT2	26.468226	31.240881	33.802441	58.129865
ENSG00000009844.16	VTA1	68.978627	79.559881	92.729775	158.544593
ENSG00000009950.16	MLXIPL	1.185789	2.037511	2.40288	0.627136
ENSG00000009954.11	BAZ1B	78.220236	83.825732	106.448771	135.60314
ENSG00000010017.13	RANBP9	23.546103	22.324775	29.916621	62.724099
ENSG00000010030.14	ETV7	0	0	0.110708	0
ENSG00000010072.16	SPRTN	13.596686	12.424303	11.083751	23.320473
ENSG00000010165.20	METTL13	52.398493	54.263244	66.97798	55.434077
ENSG00000010219.14	DYRK4	13.384263	13.409113	15.325178	19.099908
ENSG00000010244.19	ZNF207	126.437327	136.269561	134.719109	254.768842
ENSG00000010256.12	UQCRC1	91.069558	115.764673	96.911033	75.07505
ENSG00000010270.14	STARD3NL	58.019683	56.881795	49.157039	66.635104
ENSG00000010278.15	CD9	78.408991	90.262984	29.396482	27.200496
ENSG00000010282.15	HHATL	0.139475	0.257521	0	0
ENSG00000010292.13	NCAPD2	52.093368	51.968394	53.231506	46.168574
ENSG00000010295.20	IFFO1	12.857653	9.015536	9.292152	4.718461
ENSG00000010310.9	GIPR	5.392117	4.347043	1.318149	0.846252
ENSG00000010318.22	PHF7	6.038997	6.63277	8.238389	5.885762
ENSG00000010319.7	SEMA3G	1.534386	1.815198	0.272065	0.202376
ENSG00000010322.16	NISCH	176.284915	177.636643	74.543558	74.256413
ENSG00000010327.10	STAB1	0.29554	0.187362	0.163196	0
ENSG00000010361.14	FUZ	44.938669	30.349729	31.510051	21.101621
ENSG00000010379.16	SLC6A13	0.180094	1.55274	1.387388	2.536386
ENSG00000010404.18	IDS	200.154633	210.412072	133.213354	188.301648
ENSG00000010438.17	PRSS3	31.971826	30.287779	61.25393	41.402888
ENSG00000010539.12	ZNF200	15.197109	15.448264	18.163458	34.449307
ENSG00000010610.10	CD4	6.403179	1.905206	2.916646	0.899408
ENSG00000010626.15	LRRC23	20.687196	18.384957	15.769208	12.249347
ENSG00000010671.18	BTK	0.583113	0.892289	0.405702	1.458385
ENSG00000010704.20	HFE	0.244405	0.199232	0	0
ENSG00000010803.17	SCMH1	12.604709	13.353158	23.226083	21.924254
ENSG00000010810.18	FYN	84.624936	68.980227	60.847681	75.831571
ENSG00000010818.11	HIVEP2	3.95382	4.75103	13.167656	23.494933
ENSG00000010932.17	FMO1	0	0	0	0
ENSG00000011007.13	ELOA	35.89602	37.567931	54.753077	60.233899
ENSG00000011009.12	LYPLA2	162.143205	137.939654	144.708075	60.402771
ENSG00000011021.23	CLCN6	19.799652	21.132522	13.960442	20.068206
ENSG00000011028.14	MRC2	54.058224	55.205766	26.295233	13.141364
ENSG00000011052.21	NME1-NME2	16.630359	14.611943	50.077308	39.167388
ENSG00000011083.9	SLC6A7	0	0.082516	0	0
ENSG00000011105.14	TSPAN9	22.47851	20.58946	18.92213	6.931179
ENSG00000011114.15	BTBD7	13.540205	15.281579	10.397933	18.86004
ENSG00000011132.12	APBA3	23.405641	17.161911	13.047667	4.171655
ENSG00000011143.19	MKS1	19.84698	18.137279	8.00239	20.089126
ENSG00000011198.10	ABHD5	9.990831	12.08437	17.294544	15.064219
ENSG00000011201.12	ANOS1	0.452594	0.307374	2.953166	2.83204
ENSG00000011243.19	AKAP8L	71.865036	71.672643	67.85622	54.468831
ENSG00000011258.16	MBTD1	37.813723	45.031552	36.454114	57.74067
ENSG00000011260.14	UTP18	44.79756	48.197165	69.448868	75.27928
ENSG00000011275.19	RNF216	37.068483	37.275214	41.971196	49.702274
ENSG00000011295.16	TTC19	51.2441	51.882941	38.303875	54.240309
ENSG00000011304.22	PTBP1	169.137753	163.143019	242.099937	243.187519
ENSG00000011332.22	DPF1	12.666696	9.805395	13.674499	11.451702
ENSG00000011347.10	SYT7	22.865468	19.392298	10.416188	9.619814
ENSG00000011376.12	LARS2	10.107597	11.085659	13.082302	17.981216
ENSG00000011405.14	PIK3C2A	24.780941	26.158125	23.777239	56.469707
ENSG00000011422.12	PLAUR	6.451921	6.41225	18.380618	13.071133
ENSG00000011426.11	ANLN	3.00229	3.925199	8.58535	22.842672
ENSG00000011451.21	WIZ	35.389382	35.611676	24.317153	15.041172
ENSG00000011454.18	RABGAP1	41.557663	40.938886	25.062762	47.871132
ENSG00000011465.18	DCN	3.780245	2.592238	1.693884	6.242076
ENSG00000011478.13	QPCTL	5.92722	8.797266	6.519424	6.150926
ENSG00000011485.15	PPP5C	77.238435	84.425612	88.308543	48.962842
ENSG00000011523.15	CEP68	22.125783	19.083066	13.469	20.461186
ENSG00000011566.15	MAP4K3	28.728079	36.87693	26.451269	59.276988
ENSG00000011590.14	ZBTB32	1.277499	0.224663	1.001465	1.096867
ENSG00000011600.12	TYROBP	0.406359	0	0	0
ENSG00000011638.11	LDAF1	11.945814	11.186263	8.989857	6.930322
ENSG00000011677.13	GABRA3	5.984206	5.673906	5.559241	6.318799
ENSG00000012048.26	BRCA1	1.84592	2.350386	9.330705	20.244634
ENSG00000012061.17	ERCC1	45.597705	49.885427	44.848508	27.774279
ENSG00000012124.17	CD22	0.219544	0.186783	0	0
ENSG00000012171.20	SEMA3B	21.267548	18.269524	11.914261	10.283195
ENSG00000012174.12	MBTPS2	28.852057	32.694872	26.248164	51.243741
ENSG00000012211.13	PRICKLE3	0.181503	0.668648	0.154429	0.284916
ENSG00000012223.13	LTF	0.216822	0.290976	0.157415	0
